trading_code,Sector
KOHINOOR,Pharmaceuticals&Chemicals
KPCL,Power&Fuel
KPPL,PaperPrint
KTL,Textile
LANKABAFIN,Financial Institutions
LEGACYFOOT,Tannery Industries
LHBL,Cement
LIBRAINFU,Pharmaceuticals&Chemicals
LINDEBD,Power&Fuel
LOVELLO,Food&Allied
LRBDL,Power&Fuel
LRGLOBMF1,MutualFunds
MAKONSPIN,Textile
MAKSONSPIN,Textile
MALEKSPIN,Textile
MAMUNAGRO,Pharmaceuticals&Chemicals
MARICO,Pharmaceuticals&Chemicals
MASTERAGRO,Miscellaneous
MATINSPIN,Textile
MATINSPINN,Textile
MBL1STMF,MutualFunds
MEGCONMILK,Food&Allied
MEGHNA,Cement
MEGHNAINS,Insurance
MEGHNALIFE,Insurance
MEGHNAPET,Food&Allied
MERCAN,Bank
MERCANBANK,Bank
MERCINS,Insurance
METROSPIN,Textile
MHSML,Textile
MIDASFIN,Financial Institutions
MIDLAND,Bank
MIDLANDBANK,Bank
MIRACLEIND,Miscellaneous
MIRAKHTER,Engineering
MITHUNKNIT,Textile
MJLBD,Power&Fuel
MLDYEING,Textile
MLDYING,Textile
MODERNDYE,Textile
MONNO,Ceramics
MONNOAGML,Engineering
MONNOFABR,Textile
MONOSPOOL,PaperPrint
MOSTFAMETL,Engineering
MPPETRO,Power&Fuel
MTB,Bank
NAHEEACP,Engineering
NATLIFEINS,Insurance
NAVANACNG,Engineering
NAVANAPHAR,Pharmaceuticals&Chemicals
NBL,Bank
NCC,Bank
NCCBLMF1,MutualFunds
NEWLINE,Textile
NFML,Miscellaneous
NHFIL,Financial Institutions
NIALCO,Engineering
NITOLINS,Insurance
NLI1STMF,MutualFunds
NORTHERN,Jute
NORTHRNINS,Insurance
NPOLYMER,Engineering
NRBBANK,Bank
NRBC,Bank
NRBCBANK,Bank
NTC,Food&Allied
NTLTUBES,Engineering
NURANI,Textile
OAL,Engineering
OIMEX,Engineering
OLYMPIC,Food&Allied
ONE,Bank
ONEBANKPLC,Bank
ORIONINFU,Pharmaceuticals&Chemicals
ORIONPHARM,Pharmaceuticals&Chemicals
ORYZAAGRO,Miscellaneous
PADMALIFE,Insurance
PADMAOIL,Power&Fuel
PAPERPROC,PaperPrint
PARAMOUNT,Insurance
PDL,Textile
PENINSULA,Travel&Lesiure
PEOPLESINS,Insurance
PF1STMF,MutualFunds
PHARMAID,Pharmaceuticals&Chemicals
PHENIXINS,Insurance
PHOENIXFIN,Financial Institutions
PHPMF1,MutualFunds
PIONEERINS,Insurance
PLFSL,Financial Institutions
POPULAR1MF,MutualFunds
POPULARIF,Insurance
POPULARLIF,Insurance
POWERGRID,Power&Fuel
PRAGATIINS,Insurance
PRAGATILIF,Insurance
PREMIER,Cement
PREMIER,Bank
PREMIERBANK,Bank
PREMIERLEA,Financial Institutions
PRIME,Bank
PRIME1ICBA,MutualFunds
PRIMEBANK,Bank
PRIMEFIN,Financial Institutions
PRIMEINSUR,Insurance
PRIMELIFE,Insurance
PRIMETEX,Textile
PROGRESLIF,Insurance
PROVATIINS,Insurance
PTL,Textile
PUBALI,Bank
PUBALIBANK,Bank
PURABIGEN,Insurance
QUASEMIND,Engineering
QUEENSOUTH,Textile
RAHIMAFOOD,Food&Allied
RAHIMTEXT,Textile
RAK,Ceramics
RANFOUNDRY,Engineering
RDFOOD,Food&Allied
RECKITTBEN,Pharmaceuticals&Chemicals
REGENTTEX,Textile
REGENTTEXT,Textile
RELIANCE1,MutualFunds
RELIANCINS,Insurance
RENATA,Pharmaceuticals&Chemicals
RENWICKJA,Engineering
REPUBLIC,Insurance
RINGSHINE,Textile
RNSPIN,Textile
ROBI,Telecommunication
RSRMSTEEL,Engineering
RUNNERAUTO,Engineering
RUPALI,Bank
RUPALIBANK,Bank
RUPALIINS,Insurance
RUPALILIFE,Insurance
SADHESIVE,Pharmaceuticals&Chemicals
SAFKOSPIN,Textile
SAFKOSPINN,Textile
SAIFPOWER,Services & Real Estate
SAIHAMCOT,Textile
SAIHAMTEX,Textile
SALAMCRST,Engineering
SALVOCHEM,Pharmaceuticals&Chemicals
SAMATALETH,Tannery Industries
SAMORITA,Services & Real Estate
SANDHANINS,Insurance
SAPORTL,Services & Real Estate
SAVAREFR,Miscellaneous
SBAC,Bank
SEAPEARL,Travel&Lesiure
SEBL1STMF,MutualFunds
SEMLFBSLGF,MutualFunds
SEMLIBBLSF,MutualFunds
SEMLLECMF,MutualFunds
SHAHJALAL,Bank
SHAHJALALBANK,Bank
SHASHADENIM,Textile
SHASHADNIM,Textile
SHEPHERD,Textile
SHURWID,Engineering
SHYAMPSUG,Food&Allied
SIBL,Bank
SICL,Insurance
SILCOPHL,Pharmaceuticals&Chemicals
SILVAPHL,Pharmaceuticals&Chemicals
SIMTEX,Textile
SINGERBD,Engineering
SINOBANGLA,Miscellaneous
SKICL,Insurance
SKTRIMS,Miscellaneous
SONALIANSH,Jute
SONALILIFE,Insurance
SONALIP,PaperPrint
SONALIPAPR,PaperPrint
SONARBAINS,Insurance
SONARGAON,Textile
SOUTHEAST,Bank
SOUTHEASTBANK,Bank
SP,Ceramics
SPCL,Power&Fuel
SPPCL,Power&Fuel
SQUARETEX,Textile
SQUARETEXT,Textile
SQURPHARMA,Pharmaceuticals&Chemicals
SSSTEEL,Engineering
STAN,Ceramics
STANDARDCHARTERED,Bank
STANDARINS,Insurance
STANDBANKL,Bank
STYLECRAFT,Textile
SUMITPW,Power&Fuel
SUNLIFEINS,Insurance
TAKAFULINS,Insurance
TALLUSPIN,Textile
TAMIJTEX,Textile
TITASGAS,Power&Fuel
TOSHRIFA,Textile
TOSRIFA,Textile
TRUST,Bank
TRUSTB1MF,MutualFunds
TRUSTBANK,Bank
TUNGHAI,Textile
TUNGHI,Textile
UCB,Bank
UNILEVERCL,Food&Allied
UNION,Bank
UNIONBANK,Bank
UNIONCAP,Financial Institutions
UNIONINS,Insurance
UNIQEHRL,Travel&Lesiure
UNIQUEHRL,Travel&Lesiure
UNITE,Travel&Lesiure
UNITEDFIN,Financial Institutions
UNITEDINS,Insurance
UPGDCL,Power&Fuel
USMANIAGL,Miscellaneous
UTTARA,Bank
UTTARABANK,Bank
UTTARAFIN,Financial Institutions
VAMLBDMF1,MutualFunds
VAMLRBBF,MutualFunds
VFSTDL,Textile
WALTONHIL,Engineering
WATACHEM,Pharmaceuticals&Chemicals
WEBCOATS,PaperPrint
WMSHIPYARD,Engineering
YPL,Engineering
YUSUFLOUR,Food&Allied
ZAHEENSPIN,Textile
ZAHEENTEX,Textile
ZAHINSPIN,Textile
ZAHINTEX,Textile
ZEALBANGLA,Food&Allied
