name,ticker,market,sector
Emerald Oil Industries Ltd.,EMERALDOIL,DSEBD,Consumer non-durables
Envoy Textiles Ltd.,ENVOYTEX,DSEBD,Consumer non-durables
Energypac Power Generation PLC,EPGL,DSEBD,Utilities
Esquire Knit Composite PLC,ESQUIRENIT,DSEBD,Process industries
Evince Textiles Ltd.,ETL,DSEBD,Process industries
Export Import Bank of Bangladesh PLC,EXIMBANK,DSEBD,Finance
Familytex (BD) Ltd.,FAMILYTEX,DSEBD,Consumer non-durables
FAR Chemicals Industries Ltd,FARCHEM,DSEBD,Process industries
Fareast Finance & Investment Ltd.,FAREASTFIN,DSEBD,Finance
Fareast Islami Life Insurance Company Limited,FAREASTLIF,DSEBD,Finance
FAS Finance & Investment Limited,FASFIN,DSEBD,Finance
Federal Insurance PLC,FEDERALINS,DSEBD,Finance
Far East Knitting & Dyeing Industries PLC.,FEKDIL,DSEBD,Consumer non-durables
Fine Foods Limited,FINEFOODS,DSEBD,Process industries
First Finance Ltd.,FIRSTFIN,DSEBD,Finance
First Security Islami Bank PLC,FIRSTSBANK,DSEBD,Finance
Fortune Shoes Ltd.,FORTUNE,DSEBD,Consumer non-durables
Fu-Wang Ceramic Industry Ltd.,FUWANGCER,DSEBD,Producer manufacturing
Fu-Wang Foods Limited,FUWANGFOOD,DSEBD,Consumer non-durables
GBB POWER Ltd.,GBBPOWER,DSEBD,Utilities
Gemini Sea Food PLC,GEMINISEA,DSEBD,Consumer non-durables
Genex Infosys PLC,GENEXIL,DSEBD,Commercial services
Generation Next Fashions Ltd.,GENNEXT,DSEBD,Process industries
Golden Harvest Agro Industries Ltd.,GHAIL,DSEBD,Consumer non-durables
Global Heavy Chemicals Ltd.,GHCL,DSEBD,Process industries
Global Islami Bank PLC,GIB,DSEBD,Finance
Global Insurance PLC,GLOBALINS,DSEBD,Finance
Golden Son Limited,GOLDENSON,DSEBD,Consumer non-durables
Grameenphone Ltd.,GP,DSEBD,Communications
GPH Ispat Limited,GPHISPAT,DSEBD,Non-energy minerals
G.Q. Ball Pen Industries Limited,GQBALLPEN,DSEBD,Producer manufacturing
Green Delta Insurance PLC,GREENDELT,DSEBD,Finance
GSP Finance Company PLC,GSPFINANCE,DSEBD,Finance
Hakkani Pulp & Paper Mills PLC,HAKKANIPUL,DSEBD,Process industries
Hami Industries PLC,HAMI,DSEBD,Process industries
Heidelberg Materials Bangladesh PLC,HEIDELBCEM,DSEBD,Non-energy minerals
Hamid Fabrics PLC,HFL,DSEBD,Process industries
H.R. Textile Mills Ltd.,HRTEX,DSEBD,Consumer non-durables
Hwa Well Textiles (BD)PLC,HWAWELLTEX,DSEBD,Process industries
BN SINA Pharmaceutical Industry PLC,IBNSINA,DSEBD,Health technology
Indo-Bangla Pharmaceuticals Ltd.,IBP,DSEBD,Health technology
Investment Corporation of Bangladesh,ICB,DSEBD,Finance
ICB Islamic Bank Limited,ICBIBANK,DSEBD,Finance
Islami Commercial Insurance PLC.,ICICL,DSEBD,Finance
IDLC Finance PLC.,IDLC,DSEBD,Finance
IFAD Autos PLC,IFADAUTOS,DSEBD,Retail trade
IFIC Bank PLC,IFIC,DSEBD,Finance
International Leasing and Financial Services Ltd.,ILFSL,DSEBD,Finance
Index Agro Industries Ltd,INDEXAGRO,DSEBD,Process industries
Intech Ltd.,INTECH,DSEBD,Communications
Intraco Refueling Station PLC,INTRACO,DSEBD,Distribution services
IPDC Finance PLC,IPDC,DSEBD,Finance
Islami Bank Bangladesh PLC,ISLAMIBANK,DSEBD,Finance
Islamic Finance & Investment PLC,ISLAMICFIN,DSEBD,Finance
Islami Insurance Bangladesh Limited,ISLAMIINS,DSEBD,Finance
Information Services Network Ltd.,ISNLTD,DSEBD,Technology services
IT Consultants PLC,ITC,DSEBD,Commercial services
Jamuna Bank PLC,JAMUNABANK,DSEBD,Finance
Jamuna Oil Company Limited,JAMUNAOIL,DSEBD,Energy minerals
Janata Insurance PLC,JANATAINS,DSEBD,Finance
JMI Hospital Requisite Manufacturing Ltd,JHRML,DSEBD,Health technology
JMI Syringes & Medical Devices Ltd.,JMISMDL,DSEBD,Health technology
Jute Spinners Limited,JUTESPINN,DSEBD,Process industries
Karnaphuli Insurance PLC,KARNAPHULI,DSEBD,Finance
Kay and Que (Bangladesh) Ltd.,KAY&QUE,DSEBD,Producer manufacturing
Khan Brothers PP Woven Bag Industries Ltd,KBPPWBIL,DSEBD,Process industries
KDS Accessories Ltd.,KDSALTD,DSEBD,Consumer services
Keya Cosmetic Ltd.,KEYACOSMET,DSEBD,Consumer non-durables
Kohinoor Chemical Co. (Bangladesh) Ltd.,KOHINOOR,DSEBD,Consumer non-durables
Khulna Power Company Ltd.,KPCL,DSEBD,Utilities
Khulna Printing & Packaging Ltd,KPPL,DSEBD,Process industries
Kattali Textile Ltd.,KTL,DSEBD,Consumer non-durables
